#------------------------------------------------------------------------------
#
# Copyright (c) Oracle Corporation 1998. All Rights Reserved.
#
#------------------------------------------------------------------------------
#
# Name:          Mapping table from UDC to ISO 10646(Unicode) Private Use 
#                Area(PUA) for
#                KOREAN character sets of Oracle NLSRTL
#
# Created Date:  Tue Dec 22 15:39:02 1998

#
# Table Version: It is generated from NLSRTL Version 3.4.0.0.0 - Production.
#
# Table Owner:   Oracle Corporation
#
# Tables:        This file includes two tables
#
#                Table 1: Character sets which belong to KOREAN language
#
#                Table 2: Mapping between PUA and UDC values of all character
#                         set which has PUA mapping (stated 'yes' in Table 1.)
#
# Table 1 format:
#                Columns separated by spaces:
#                    Column 1: (pos.  3-30) character set name
#                    Column 2: (pos. 32-35) character set id
#                    Column 3: (pos. 37-39) has PUA mapping (yes/no)?
#
#                The entries are in Oracle character set id order.
#
# Table 2 format:
#                Columns separated by spaces
#                   Column 1: (pos.  1-10) ISO 10646 code in hex
#                   Column 2: (pos. 12-21) value of 1st character set in hex
#                   Column 3: (pos. 23-32) value of 2nd character set in hex
#                     :
#                     :
#                   Column N: (pos. xx-xx) value of Nth character set in hex
#                The entries are in ISO 10646 code value order.
#
#------------------------------------------------------------------------------
# Table 1.
# CHARACTER SET NAME            ID  PUA?
# ---------------------------- ---- ---
# KO16KSC5601                   840 no
# KO16DBCS                      842 yes
# KO16KSCCS                     845 no
# KO16MSWIN949                  846 yes
# KO16TSTSET                    996 no
# KO16KSC5601FIXED             1840 no
# KO16DBCSFIXED                1842 yes
#------------------------------------------------------------------------------
# Table 2.
# PUA      ID:842     ID:846     ID:1842   
#--------- ---------- ---------- ----------
E0EA       D56F                  D56F      
E0EB       D570                  D570      
E0EC       D571                  D571      
E0ED       D572                  D572      
E0EE       D573                  D573      
E0EF       D574                  D574      
E0F0       D575                  D575      
E0F1       D576                  D576      
E0F2       D577                  D577      
E0F3       D578                  D578      
E0F4       D579                  D579      
E0F5       D57A                  D57A      
E0F6       D57B                  D57B      
E0F7       D57C                  D57C      
E0F8       D57D                  D57D      
E0F9       D57E                  D57E      
E0FA       D57F                  D57F      
E0FB       D581                  D581      
E0FC       D582                  D582      
E0FD       D583                  D583      
E0FE       D584                  D584      
E0FF       D585                  D585      
E100       D586                  D586      
E101       D587                  D587      
E102       D588                  D588      
E103       D589                  D589      
E104       D58A                  D58A      
E105       D58B                  D58B      
E106       D58C                  D58C      
E107       D58D                  D58D      
E108       D58E                  D58E      
E109       D58F                  D58F      
E10A       D590                  D590      
E10B       D591                  D591      
E10C       D592                  D592      
E10D       D593                  D593      
E10E       D594                  D594      
E10F       D595                  D595      
E110       D596                  D596      
E111       D597                  D597      
E112       D598                  D598      
E113       D599                  D599      
E114       D59A                  D59A      
E115       D59B                  D59B      
E116       D59C                  D59C      
E117       D59D                  D59D      
E118       D59E                  D59E      
E119       D59F                  D59F      
E11A       D5A0                  D5A0      
E11B       D5A1                  D5A1      
E11C       D5A2                  D5A2      
E11D       D5A3                  D5A3      
E11E       D5A4                  D5A4      
E11F       D5A5                  D5A5      
E120       D5A6                  D5A6      
E121       D5A7                  D5A7      
E122       D5A8                  D5A8      
E123       D5A9                  D5A9      
E124       D5AA                  D5AA      
E125       D5AB                  D5AB      
E126       D5AC                  D5AC      
