#------------------------------------------------------------------------------
#
# Copyright (c) Oracle Corporation 1998. All Rights Reserved.
#
#------------------------------------------------------------------------------
#
# Name:          Mapping table from UDC to ISO 10646(Unicode) Private Use 
#                Area(PUA) for
#                SIMPLIFIED CHINESE character sets of Oracle NLSRTL
#
# Created Date:  Tue Dec 22 15:38:02 1998

#
# Table Version: It is generated from NLSRTL Version 3.4.0.0.0 - Production.
#
# Table Owner:   Oracle Corporation
#
# Tables:        This file includes two tables
#
#                Table 1: Character sets which belong to SIMPLIFIED CHINESE language
#
#                Table 2: Mapping between PUA and UDC values of all character
#                         set which has PUA mapping (stated 'yes' in Table 1.)
#
# Table 1 format:
#                Columns separated by spaces:
#                    Column 1: (pos.  3-30) character set name
#                    Column 2: (pos. 32-35) character set id
#                    Column 3: (pos. 37-39) has PUA mapping (yes/no)?
#
#                The entries are in Oracle character set id order.
#
# Table 2 format:
#                Columns separated by spaces
#                   Column 1: (pos.  1-10) ISO 10646 code in hex
#                   Column 2: (pos. 12-21) value of 1st character set in hex
#                   Column 3: (pos. 23-32) value of 2nd character set in hex
#                     :
#                     :
#                   Column N: (pos. xx-xx) value of Nth character set in hex
#                The entries are in ISO 10646 code value order.
#
#------------------------------------------------------------------------------
# Table 1.
# CHARACTER SET NAME            ID  PUA?
# ---------------------------- ---- ---
# ZHS16CGB231280                850 no
# ZHS16MACCGB231280             851 no
# ZHS16GBK                      852 yes
# ZHS16DBCS                     853 yes
# ZHS16CGB231280FIXED          1850 no
# ZHS16GBKFIXED                1852 yes
# ZHS16DBCSFIXED               1853 yes
#------------------------------------------------------------------------------
# Table 2.
# PUA      ID:852     ID:853     ID:1852    ID:1853   
#--------- ---------- ---------- ---------- ----------
E115       ACFA       779B       ACFA       779B      
E116       ACFB       779C       ACFB       779C      
E117       ACFC       779D       ACFC       779D      
E118       ACFD       779E       ACFD       779E      
E119       ACFE       779F       ACFE       779F      
E11A       ADA1       77A0       ADA1       77A0      
E11B       ADA2       77A1       ADA2       77A1      
E11C       ADA3       77A2       ADA3       77A2      
E11D       ADA4       77A3       ADA4       77A3      
E11E       ADA5       77A4       ADA5       77A4      
E11F       ADA6       77A5       ADA6       77A5      
E120       ADA7       77A6       ADA7       77A6      
E121       ADA8       77A7       ADA8       77A7      
E122       ADA9       77A8       ADA9       77A8      
E123       ADAA       77A9       ADAA       77A9      
E124       ADAB       77AA       ADAB       77AA      
E125       ADAC       77AB       ADAC       77AB      
E126       ADAD       77AC       ADAD       77AC      
E127       ADAE       77AD       ADAE       77AD      
E128       ADAF       77AE       ADAF       77AE      
E129       ADB0       77AF       ADB0       77AF      
E12A       ADB1       77B0       ADB1       77B0      
E12B       ADB2       77B1       ADB2       77B1      
E12C       ADB3       77B2       ADB3       77B2      
E12D       ADB4       77B3       ADB4       77B3      
E12E       ADB5       77B4       ADB5       77B4      
E12F       ADB6       77B5       ADB6       77B5      
E130       ADB7       77B6       ADB7       77B6      
E131       ADB8       77B7       ADB8       77B7      
E132       ADB9       77B8       ADB9       77B8      
E133       ADBA       77B9       ADBA       77B9      
E134       ADBB       77BA       ADBB       77BA      
E135       ADBC       77BB       ADBC       77BB      
E136       ADBD       77BC       ADBD       77BC      
E137       ADBE       77BD       ADBE       77BD      
E138       ADBF       77BE       ADBF       77BE      
E139       ADC0       77BF       ADC0       77BF      
E13A       ADC1       77C0       ADC1       77C0      
E13B       ADC2       77C1       ADC2       77C1      
E13C       ADC3       77C2       ADC3       77C2      
E13D       ADC4       77C3       ADC4       77C3      
E13E       ADC5       77C4       ADC5       77C4      
E13F       ADC6       77C5       ADC6       77C5      
E140       ADC7       77C6       ADC7       77C6      
E141       ADC8       77C7       ADC8       77C7      
E142       ADC9       77C8       ADC9       77C8      
E143       ADCA       77C9       ADCA       77C9      
E144       ADCB       77CA       ADCB       77CA      
E145       ADCC       77CB       ADCC       77CB      
E146       ADCD       77CC       ADCD       77CC      
E147       ADCE       77CD       ADCE       77CD      
E148       ADCF       77CE       ADCF       77CE      
E149       ADD0       77CF       ADD0       77CF      
E14A       ADD1       77D0       ADD1       77D0      
E14B       ADD2       77D1       ADD2       77D1      
E14C       ADD3       77D2       ADD3       77D2      
E14D       ADD4       77D3       ADD4       77D3      
E14E       ADD5       77D4       ADD5       77D4      
E14F       ADD6       77D5       ADD6       77D5      
E150       ADD7       77D6       ADD7       77D6      
E151       ADD8       77D7       ADD8       77D7      
E152       ADD9       77D8       ADD9       77D8      
E153       ADDA       77D9       ADDA       77D9      
E154       ADDB       77DA       ADDB       77DA      
E155       ADDC       77DB       ADDC       77DB      
E156       ADDD       77DC       ADDD       77DC      
E157       ADDE       77DD       ADDE       77DD      
E158       ADDF       77DE       ADDF       77DE      
E159       ADE0       77DF       ADE0       77DF      
E15A       ADE1       77E0       ADE1       77E0      
E15B       ADE2       77E1       ADE2       77E1      
E15C       ADE3       77E2       ADE3       77E2      
E15D       ADE4       77E3       ADE4       77E3      
E15E       ADE5       77E4       ADE5       77E4      
E15F       ADE6       77E5       ADE6       77E5      
E160       ADE7       77E6       ADE7       77E6      
E161       ADE8       77E7       ADE8       77E7      
E162       ADE9       77E8       ADE9       77E8      
E163       ADEA       77E9       ADEA       77E9      
E164       ADEB       77EA       ADEB       77EA      
E165       ADEC       77EB       ADEC       77EB      
E166       ADED       77EC       ADED       77EC      
E167       ADEE       77ED       ADEE       77ED      
E168       ADEF       77EE       ADEF       77EE      
E169       ADF0       77EF       ADF0       77EF      
E16A       ADF1       77F0       ADF1       77F0      
E16B       ADF2       77F1       ADF2       77F1      
E16C       ADF3       77F2       ADF3       77F2      
E16D       ADF4       77F3       ADF4       77F3      
E16E       ADF5       77F4       ADF5       77F4      
