#------------------------------------------------------------------------------
#
# Copyright (c) Oracle Corporation 1998. All Rights Reserved.
#
#------------------------------------------------------------------------------
#
# Name:          Mapping table from UDC to ISO 10646(Unicode) Private Use 
#                Area(PUA) for
#                JAPANESE character sets of Oracle NLSRTL
#
# Created Date:  Tue Dec 22 15:38:46 1998

#
# Table Version: It is generated from NLSRTL Version 3.4.0.0.0 - Production.
#
# Table Owner:   Oracle Corporation
#
# Tables:        This file includes two tables
#
#                Table 1: Character sets which belong to JAPANESE language
#
#                Table 2: Mapping between PUA and UDC values of all character
#                         set which has PUA mapping (stated 'yes' in Table 1.)
#
# Table 1 format:
#                Columns separated by spaces:
#                    Column 1: (pos.  3-30) character set name
#                    Column 2: (pos. 32-35) character set id
#                    Column 3: (pos. 37-39) has PUA mapping (yes/no)?
#
#                The entries are in Oracle character set id order.
#
# Table 2 format:
#                Columns separated by spaces
#                   Column 1: (pos.  1-10) ISO 10646 code in hex
#                   Column 2: (pos. 12-21) value of 1st character set in hex
#                   Column 3: (pos. 23-32) value of 2nd character set in hex
#                     :
#                     :
#                   Column N: (pos. xx-xx) value of Nth character set in hex
#                The entries are in ISO 10646 code value order.
#
#------------------------------------------------------------------------------
# Table 1.
# CHARACTER SET NAME            ID  PUA?
# ---------------------------- ---- ---
# JA16VMS                       829 no
# JA16EUC                       830 no
# JA16EUCYEN                    831 no
# JA16SJIS                      832 yes
# JA16DBCS                      833 yes
# JA16SJISYEN                   834 yes
# JA16EBCDIC930                 835 yes
# JA16MACSJIS                   836 no
# JA16TSTSET2                   997 no
# JA16TSTSET                    998 no
# JA16EUCFIXED                 1830 no
# JA16SJISFIXED                1832 yes
# JA16DBCSFIXED                1833 yes
#------------------------------------------------------------------------------
# Table 2.
# PUA      ID:832     ID:833     ID:834     ID:835     ID:1832    ID:1833   
#--------- ---------- ---------- ---------- ---------- ---------- ----------
E10C       F191       6A8F       F191       6A8F       F191       6A8F      
E10D       F192       6A90       F192       6A90       F192       6A90      
E10E       F193       6A91       F193       6A91       F193       6A91      
E10F       F194       6A92       F194       6A92       F194       6A92      
E110       F195       6A93       F195       6A93       F195       6A93      
E111       F196       6A94       F196       6A94       F196       6A94      
E112       F197       6A95       F197       6A95       F197       6A95      
E113       F198       6A96       F198       6A96       F198       6A96      
E114       F199       6A97       F199       6A97       F199       6A97      
E115       F19A       6A98       F19A       6A98       F19A       6A98      
E116       F19B       6A99       F19B       6A99       F19B       6A99      
E117       F19C       6A9A       F19C       6A9A       F19C       6A9A      
E118       F19D       6A9B       F19D       6A9B       F19D       6A9B      
E119       F19E       6A9C       F19E       6A9C       F19E       6A9C      
E11A       F19F       6A9D       F19F       6A9D       F19F       6A9D      
E11B       F1A0       6A9E       F1A0       6A9E       F1A0       6A9E      
E11C       F1A1       6A9F       F1A1       6A9F       F1A1       6A9F      
E11D       F1A2       6AA0       F1A2       6AA0       F1A2       6AA0      
E11E       F1A3       6AA1       F1A3       6AA1       F1A3       6AA1      
E11F       F1A4       6AA2       F1A4       6AA2       F1A4       6AA2      
E120       F1A5       6AA3       F1A5       6AA3       F1A5       6AA3      
E121       F1A6       6AA4       F1A6       6AA4       F1A6       6AA4      
E122       F1A7       6AA5       F1A7       6AA5       F1A7       6AA5      
E123       F1A8       6AA6       F1A8       6AA6       F1A8       6AA6      
E124       F1A9       6AA7       F1A9       6AA7       F1A9       6AA7      
E125       F1AA       6AA8       F1AA       6AA8       F1AA       6AA8      
E126       F1AB       6AA9       F1AB       6AA9       F1AB       6AA9      
E127       F1AC       6AAA       F1AC       6AAA       F1AC       6AAA      
E128       F1AD       6AAB       F1AD       6AAB       F1AD       6AAB      
E129       F1AE       6AAC       F1AE       6AAC       F1AE       6AAC      
E12A       F1AF       6AAD       F1AF       6AAD       F1AF       6AAD      
E12B       F1B0       6AAE       F1B0       6AAE       F1B0       6AAE      
E12C       F1B1       6AAF       F1B1       6AAF       F1B1       6AAF      
E12D       F1B2       6AB0       F1B2       6AB0       F1B2       6AB0      
E12E       F1B3       6AB1       F1B3       6AB1       F1B3       6AB1      
E12F       F1B4       6AB2       F1B4       6AB2       F1B4       6AB2      
E130       F1B5       6AB3       F1B5       6AB3       F1B5       6AB3      
E131       F1B6       6AB4       F1B6       6AB4       F1B6       6AB4      
E132       F1B7       6AB5       F1B7       6AB5       F1B7       6AB5      
E133       F1B8       6AB6       F1B8       6AB6       F1B8       6AB6      
E134       F1B9       6AB7       F1B9       6AB7       F1B9       6AB7      
E135       F1BA       6AB8       F1BA       6AB8       F1BA       6AB8      
E136       F1BB       6AB9       F1BB       6AB9       F1BB       6AB9      
E137       F1BC       6ABA       F1BC       6ABA       F1BC       6ABA      
E138       F1BD       6ABB       F1BD       6ABB       F1BD       6ABB      
E139       F1BE       6ABC       F1BE       6ABC       F1BE       6ABC      
E13A       F1BF       6ABD       F1BF       6ABD       F1BF       6ABD      
E13B       F1C0       6ABE       F1C0       6ABE       F1C0       6ABE      
E13C       F1C1       6ABF       F1C1       6ABF       F1C1       6ABF      
E13D       F1C2       6AC0       F1C2       6AC0       F1C2       6AC0      
E13E       F1C3       6AC1       F1C3       6AC1       F1C3       6AC1      
E13F       F1C4       6AC2       F1C4       6AC2       F1C4       6AC2      
E140       F1C5       6AC3       F1C5       6AC3       F1C5       6AC3      
E141       F1C6       6AC4       F1C6       6AC4       F1C6       6AC4      
E142       F1C7       6AC5       F1C7       6AC5       F1C7       6AC5      
E143       F1C8       6AC6       F1C8       6AC6       F1C8       6AC6      
E144       F1C9       6AC7       F1C9       6AC7       F1C9       6AC7      
E145       F1CA       6AC8       F1CA       6AC8       F1CA       6AC8      
E146       F1CB       6AC9       F1CB       6AC9       F1CB       6AC9      
E147       F1CC       6ACA       F1CC       6ACA       F1CC       6ACA      
E148       F1CD       6ACB       F1CD       6ACB       F1CD       6ACB      
E149       F1CE       6ACC       F1CE       6ACC       F1CE       6ACC      
